出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150514","11504","7558","群利科技","其他","32825","25986","26223","26.318017393981375","25.17637188727453","119182","108275","10.073424151466174","-"
"1150514","11504","7561","光晟生技","生技醫療業","17688","16082","18489","9.986320109439124","-4.332305695278274","57997","67395","-13.944654647970918","-"
"1150514","11504","7562","博來科技","電腦及週邊設備業","64816","64063","65897","1.1754054602500663","-1.640438866716239","255124","224128","13.829597372929754","-"
"1150514","11504","7566","亞果遊艇","觀光餐旅","40703","22578","29889","80.27726105058021","36.18053464485262","112567","127095","-11.430819465753963","-"
"1150514","11504","7575","安美得","生技醫療業","70113","60025","67373","16.806330695543522","4.066911077137726","261292","264280","-1.1306190404116845","-"
"1150514","11504","7578","利百景","其他","47283","46877","40011","0.8660963798877914","18.175001874484515","165431","147735","11.978204217010187","-"
"1150514","11504","7583","國際海洋","綠能環保","92751","68411","91348","35.57907354080484","1.535884748434558","305596","263507","15.972630708102631","-"
"1150514","11504","7590","怡和國際","其他","237917","272355","200341","-12.644526445264452","18.7560209842219","962883","477480","101.65933651671274","訂單增加所致。"
"1150514","11504","7595","世基生醫","生技醫療業","7874","14217","8967","-44.615601041007245","-12.189137950262072","32923","39166","-15.9398457846091","-"
"1150514","11504","7607","通用幹細胞*","生技醫療業","1726","2390","6414","-27.782426778242677","-73.09011537262239","5596","8762","-36.13330289888153","本期累計營業收入較去年減少，主係權利金收入減少所致"
"1150514","11504","7669","碩正科技","半導體業","25516","35677","14732","-28.480533677158952","73.20119467825143","111617","84005","32.86947205523481","客戶需求增加。"
"1150514","11504","7689","大鵬科CLMX","通信網路業","703035","399060","366157","76.17275597654488","92.00370332944611","1933455","1353931","42.803067512303066","主係受客戶訂單出貨排程與產品組合差異影響。因應客戶專案需求，部分套裝產品出貨時程較為集中，致使變動。"
"1150514","11504","7702","前端風電","綠能環保","20074","8404","371434","138.8624464540695","-94.59554052671538","139334","740944","-81.19507007277203","本年減少百分比達50%以上，主係因去年銷售方面較今年多元，因此營業收入降低。"
"1150514","11504","7706","宏碁創達","其他","51369","55368","41714","-7.222583441699176","23.145706477441625","219138","162134","35.15857253876423","-"
"1150514","11504","7707","益芯科","半導體業","85206","111544","33775","-23.61220684214301","152.27535159141377","324927","176382","84.21777732421675","本月營收較去年同期增加及本月累計營收較去年同期累計增加，主要為量產產品收入增加。"
"1150514","11504","7710","東擎科技","電腦及週邊設備業","342292","356413","135528","-3.961976695575077","152.56183224130808","991674","582115","70.35706003109351","客戶需求強勁"
"1150514","11504","7719","碳基","其他","2492","0","1423","","75.12297962052003","2492","7460","-66.59517426273459","主係因標案之營收尚未入帳"
"1150514","11504","7724","諾亞克","生技醫療業","32840","36398","27376","-9.775262377053684","19.959088252483927","128830","115864","11.190706345370435","-"
"1150514","11504","7725","列特博","生技醫療業","7117","8810","6190","-19.216799091940977","14.975767366720516","35081","23182","51.328617030454666","本年累計營收較去年同期增加，係因市場開發成果與客戶需求提升，致使出貨增加。"
"1150514","11504","7726","暄達","生技醫療業","38975","38684","25795","0.752248991831248","51.09517348323318","121755","103655","17.461772225170034","客戶需求增加"
"1150514","11504","7729","仲恩生醫","生技醫療業","0","0","0","","","0","0","","不適用"
"1150514","11504","7731","火星生技*","食品工業","31507","40575","54226","-22.348736906962415","-41.89687603732527","164668","204267","-19.385901785408315","本期變化主要係於2025.12.31處份健生活及牛耳2品牌所致。"
"1150514","11504","7737","凱鈿","數位雲端","29193","30932","31224","-5.62200956937799","-6.504611837048424","117929","130794","-9.836078107558452","-"
"1150514","11504","7742","天弘化","化學工業","298461","243217","53191","22.713872796720622","461.1118422289485","1031919","167499","516.0747228341662","主係新能源材料客戶需求量增加，致本月營收較去年同期增加。"
"1150514","11504","7745","紅陽","數位雲端","15206","15634","15461","-2.7376231290776514","-1.6493111700407477","56556","60570","-6.627043090638931","-"
"1150514","11504","7748","鑫囍創業","其他","43920","25669","14853","71.10132845066033","195.69783882044032","141535","35132","302.86633268814757","營收增長主因係本月有部分今年開案已如期執行，並認列當月結案之收入,收入依完工比例法認列。"
